objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel,onview
hpl_hhc_cp_gn_h360,hpl_hhc_cp_gn_h360.jpg,,,"Park River, Arrow Filling Station and Bushnell Park Garage, Hartford",Unknown,1924,"View of the rear of buildings that back onto the north side of the Park River. The Arrow Filling Station can be seen on the to the right. A sign advertises Tydol. Beyond a bridge visible farther to the right is a large building with a sign on the side of the building advertising the Bushnell Park Garage. A sign on the front of the building advertises Hupmobile service. Possibly taken in 1924, based on date associated with similar images.",Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Architecture; Landscape Architecture;,,,,,Hartford History Center http://hdl.handle.net/11134/50002:2644,"	
hpl_hhc_cp_gn_h360",Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Hartford History Center, Hartford Public Library, City Parks Collection",,
APL_CLB_Receipt,APL_CLB_Receipt.jpg,,,"Receipt from Case, Lockwood and Brainard Co. 1875.","Case, Lockwood, and Brainard Compnay",1875,"Receipt from Ladies Library for $8.50 paid to the Case, Lockwood and Brainard Co. for books.",Economic; Industry; Printing; Consumer,Newton Case;  Leverett Brainard; James Lockwood; James Mumford; Patrick Carr; Charles Lynch; Emil Eitel; Charles E. Beebe; John Coughlin; M. Day; Ernest Miller; Ernest Mason; W.J. Parker; T. Coleman,"Corrner of Pearl & Trumbull, Hartford, Connecticut",41.76635,-72.67592,Acton Publish Library; http://hdl.handle.net/11134/740002:1900,APL_CLB_Receipt,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Acton Publish Library,,
CMCH_1910-7-0,CMCH_1910-7-0.jpg,,,"Looking west across Bushnell Park, Hartford",Mary Kingsbury Talcott,1872,"Commercial and residential structures bordering the grass and trees of Bushnell Park. In the center is a brick circular structure with many gables, cupola, and pointed roof, the Hartford- New Haven Railroad roundhouse. Train cars are on the tracks. In the background are houses. To the rights is the Hartford Public High School with dormers, cupola, and turret with clock and Victorian houses. The dark area in the center of the scene is probably the Park River. On the left near elm trees is a stone semi-circular monument. Inscribed on front: ""January 1872"" On back: "" Hartford looking west / across Bushnell Park / drawn by Mary K. Talcott.""",Cultural; Arts; Visual Arts; Drawing; Built Environment; Environmental; Landscape Architecture;,Mary Kingsbury Talcott,,,,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:16818,CMCH_1910.7.0,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
CMCH_1956-84-91,CMCH_1956-84-91.jpg,,,"Old State House, Main Street, Hartford",Unknown,1899,"Brick and brownstone building with a cupola with a clock, dome, and a statue of an allegorical figure of Justice on top is partially concealed by trees. Horse-drawn carriages, possibly cabs, line the sidewalks. Commercial buildings line State Street, on the left. Some have striped awnings. Inscribed beneath image: ""Old State House / Main Street.""",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Political; Environment; Built Environment; Buildings/Architecture; Civil engineering,,"State House Square, Hartford, Connecticut",41.76647725,-72.67232611,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:19931,CMCH_1956.84.91,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Connecticut Museum of Culture and History, Samuel Taylor Collection",,
CMCH_1956-84-92,CMCH_1956-84-92.jpg,,,"State Street from the park behind the Old State House, Hartford",,1860-1869,"Men and boys sit and stand around a fountain surrounded by a stone basin and paths. Grassy lawns are on either side. A kerosene or oil street lamp is in the foreground. Some trees appear to be elms. An iron fence surrounds the park. The large building in the right background with porches on every floor and a cupola is the American Hotel. Commercial buildings with awnings are in the left background. The Connecticut River is in the distance at the end of the street. Inscribed on back: ""View of City Hall Park east side of City Hall, facing / State Street, before the Gov't P.O. building was erected / on that spot.""",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Political; Environment; Built Environment; Buildings/Architecture; Civil engineering,,"State House Square, Hartford, Connecticut",41.76647725,-72.67232611,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:19906,CMCH_1956.84.92,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Connecticut Museum of Culture and History, Samuel Taylor Collection",The Government Building in City Hall Square housing the Post Office was begun in 1873 and completed in 1883.,
CMCH_1958-71-1,CMCH_1958-71-1.jpg,,,"The Old State House, Hartford",Edward Williams Clay,1834,"View of brick federal style building with a two-story Doric portico, a roofline balustrade and a cupola. Men and women walk on a sidewalk in lawn or park enclosed by an iron fence. The buildings in the background are on Main Street. There appears to be a tavern sign immediately to the right of the State House. The buildings on the right are on State Street. A hay wagon drawn by oxen, a horse-drawn carriage, and a man, two women and a child are on the dirt road at the left. Inscribed beneath image: ""State House, Hartford, Connecticut. 1834."" Inscribed on back: ""To Miss Mary Irene Potts ? / from her friend / E.W. Clay / 31 Aug. 1834.""",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Political; Environment; Built Environment; Buildings/Architecture; Civil engineering,Edward Williams Clay,"State House Square, Hartford, Connecticut",41.76647725,-72.67232611,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:16967,CMCH_1958.71.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,The Old State House was built between 1796 with additions between 1815 and 1827. The architect was Charles Bulfinch.,
CMCH_1959-81-71,CMCH_1959-81-71.jpg,,,"Corner of Main Street and Pratt Street, Hartford, October 20, 1896",Unknown,10/20/1896,"Men and women on the sidewalk at the corner of Main and Pratt Streets. Trolley tracks are in the road, a utility pole is at the corner, and the wheels of a carriage are visible at the far left. Signs read: ""Sage, Allen & Co."" ""Dry Goods / 369."" Signs on the awnings read: ""Silks Warranteed"" and ""Hosiery, Gloves, Laces."" Bolts of fabric are displayed in the shop windows. A sign to the right reads: ""Dental Parlors / Dr. J.F. Doebler / Dentischer Zahnarzt."" The commercial building on the left has signs that read: ""Cook & Hills / Importers of / Dry goods"" and ""Standard Patterns."" The stone building with round arches on the left side of Pratt Street is the Society for Savings.",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Labor; built environment; civil engineering,,"State House Square, Hartford, Connecticut",41.76647725,-72.67232611,"Connecticut Museum of Culture and History 	
http://hdl.handle.net/11134/40002:9936",CMCH_1959.81.71,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,,
CMCH_1959-81-95,CMCH_1959-81-95.jpg,,,"Trolley track work, corner of Main Street and State Street, Hartford, May 19, 1897",Unknown,05/19/1897,"Group of men, most wearing hats, dig up the street at the corner of Main and State Streets. A pile of debris is in the middle of the street. A wagon drawn by two horses and a bicycles are beside the curb. Signs on commercial buildings on State Street read: ""Crane, Dentist,"" ""C.O. Baldwin / Rubber Stamps / Stencils,"" ""Byrne ? Tailor / Repairing,"" ""A.J. Glazier / Real Estate,"" ""H.P. Hitchcock / Merchant / Tailor,"" ""Kashmann's Furnishing House,"" ""Headquarters / for / Bartenders' / Coats,"" ""Gents Outfitter,"" ""6 / custom / shirts / $9.00,"" ""Butcher / Frocks /Aprons / and / Waiters / Outfits / a Specialty,"" ""A / Complete / Line / of / Hats / and / Caps,"" Perkins & Perkins Law Offices,"" ""Steam Job and Card Printers,"" Hartford Printing Company,"" ""Job Card / and / Book Printing,""""Society / and / Mercantile / Printing,"" ""Town Reports / Tax Lists / And / Abstract Books,"" ""Insurance / and / Bank / Printing,"" ""L.E. Stanton / Law / Office,"" ""E. Gundlach & Co. / Jewelers,"" ""Union Line / Pennsylvania R.R./ Freight / Office,"" ""Joseph Lavelli.""",Cultural; Arts; Visual Arts; Photography; Economic; Business; Consumer; Industry; Labor; built environment; civil engineering,,"State House Square, Hartford, Connecticut",41.76647725,-72.67232611,"Connecticut Museum of Culture and History 	
http://hdl.handle.net/11134/40002:16994",CMCH_1959.81.95,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,"S.L.G. Crane, dentist, Charles O. Baldwin, stamps, stencils, etc., John Byrne, tailor, and A. Judson Glazier, real estate, were located at 8 State Street. Henry P. Hitchcock, merchant tailor, was located at 10 State Street. Emma Gundlach took over the family jewelry business at 20 State Street, formerly Louis Gundlach & son, after the death of Louis Gundlach in 1892. Mrs. Louis Gundlach and Louis, Jr. ran the business in 1893, but by 1894 it was listed as E. Gundlach & Co. with Emma Gundlach and Mrs. Louis Gundlach as proprietors. Mrs. Gundlach was probably Emma's mother. Joseph A. Lavelli, a barber, was located at 22 State Street. The law firm of Arthur Perkins and Charles E. Perkins was at 14 State Street. Isaac Kashmann, gents furnishings, was located at 12 State Street. Kashmann, a prominent Jewish clothing merchant, was born in Cassel, Germany and emigrated to Hartford when he was fourteen. Kashmann, Isaac, 1858-1933.",
CMCH_1960-150-1,CMCH_1960-150-1.jpg,,,"Workingmen's restaurant, 129 Market Street, Hartford",H.C. Curtis,1872,"Interior with vertical wood paneling and columns down the center of the room. Men sit eating at tables at the left. Some have beards or mustaches. Cruets, bowls and plates are on the tables. An African-American man in a white jacket waits on the table in the foreground. A second African-American man carrying a tray is at the right. A cast iron stove with a stovepipe is in the center of the room. Men and women sit reading newspapers at the right. One man wears a top hat. Gas fixtures hang from the ceiling. Pictures, apparently framed oil paintings, hang from the wall on wires. The picture on the right depicts a fox with a pigeon. A clock is on the back wall above a table with food on it. Letterpress text beneath image: ""Connecticut - Workingmen's Restaurant, conducted by the Ladies of Hartford. - From a Sketch by H.C. Curtis.""",Social; Identity; Cultural; Arts; Visual Arts; Drawing; Economic; Business; Consumer; Transportation,H.C. Curtis; Mrs. Frank Cheney; Miss Sarah Dunham; Miss Hammersely; Frank Cheney; Cornelius Dunham,"129 Market Street, Hartford, Connecticut",41.7681456,-72.67139648,Connecticut Museum of Culture and History http://hdl.handle.net/11134/40002:17005,CMCH_1960.150.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Connecticut Museum of Culture and History collection,"""Connecticut - Workmen's Restaurant, Conducted by the Ladies of Hartford - From a sketch by H.C. Curtis"" Probably from Frank Leslie's Illustrated Newspaper. The management committee of the Workingmen's Restaurant consisted of Mrs. Frank Cheney, Miss Sarah Dunham, and Miss Hammersley. Mr. Frank Cheney and Mr. Cornelius Dunham were the advisory committee.",
CMCH_1965-33-39-2,CMCH_1965-33-39-2.jpg,,,"Horse-drawn cabs in front of Union Station, Hartford",Unknown,1860-1880,"Stone railroad station with cupolas and skylights in the roof is at the left. Steam rises from railroad cars on the railroad tracks beside the platform. Horses hitched to carriages, probably cabs, are nearby. Utility poles are at the right. The corner of a brick building, probably a commercial building, is at the far right.",Cultural; Arts; Visual Arts; Painting; Environmental; Built Environment; Buildings/Architecture; Civil Engineering,,"Union Station, 1 Union Place, Hartford, Connecticut 06103",41.76941433,-72.68145747,The Connecticut Museum of Culture and History; https://emuseum.chs.org/emuseum/objects/1236/horsedrawn-cabs-in-front-of-union-station-hartford?ctx=d4245f72996eeeaa19da5e8d004fc28be7057342&idx=1,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Connecticut Museum of Culture and History, Gift of the heirs of Morgan B. Brainard","The Clemenses constructed their Hartford home in Nook Farm, a neighborhood approximately one mile from Union Station, Hartford's only train station. To get there, the Clemenses would pack their trunks into a horse-drawn carriage manned by their coachman Patrick McAleer. ",
