objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
249,Jodi-will-upload-soon,,,Practical Floriculture,Peter Henderson,1882,,,,,,,The Mark Twain House & Museum,249,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
1935-3-1,no,,,Mark Twain House,Kenneth Irwin Dike,1935,,Culture; Arts; Visual Arts; Painting; Environment; Built Environment; Buildings/Architecture,Kenneth Irwin Dike,,41.76705545,-72.70141583,The Mark Twain House & Museum,1935.3.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Kenneth Erwin Dike ",Watercolor painting of the Mark Twain House by Kenneth Irwin Dike
209202303,209202303.jpg,,,Bret Harte,,1871,,,,,,,National Archives and Records Administration ,209202303,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of National Archives and Records Administration ,
"	
hpl_hhc_cp_gn_h360","	
hpl_hhc_cp_gn_h360",,,"Park River, Arrow Filling Station and Bushnell Park Garage, Hartford",Unknown,1924,"View of the rear of buildings that back onto the north side of the Park River. The Arrow Filling Station can be seen on the to the right. A sign advertises Tydol. Beyond a bridge visible farther to the right is a large building with a sign on the side of the building advertising the Bushnell Park Garage. A sign on the front of the building advertises Hupmobile service. Possibly taken in 1924, based on date associated with similar images.",Cultural; Arts; Visual Arts; Photography; Environmental; Built Environment; Architecture; Landscape Architecture;  ,,,,,Hartford History Center http://hdl.handle.net/11134/50002:2644,"	
hpl_hhc_cp_gn_h360",Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"Hartford History Center, Hartford Public Library, City Parks Collection",
0535-img0094-pcd,Grace_King.png,,,Grace King,,1896,,,,,,,"The Ladies Home Journal, September 1896. XIII No. 10.",0535 img0094.pcd,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image from The Ladies Home Journal, September 1896. XIII No. 10.",
102,,,,A Yankee in King Arthur's Court,Mark Twain; Pub. Webster,1889,"Copy of Yankee in King Arthur's Court. Green cover with Gold embossed title and author and gold and blue embossed design of knight and man in center of front cover, Spine has gold embossed totle, author, and publisher as well as a gold embossed design of a shield. book is 8 1/2"" x 7"" x 1 1/4"". Spine has wear on outside including a small tear at bottom fron measuring aprox 1cm. Cover completely detached from front of book. On 2nd fly page inscription reads""To My Dear Miss Annie Trumbull with the best wishes of the author 1889"" book is 575 pages long and features an advertisement on last page for the publisher. Page 165/166 has top outside corner ripped off, corner is inserted into page. there is corner damage around this area from aprox 147-176. There is a stamp on back fly page bottom right corner ""B4210""",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens,,,,Mark Twain House and Museum,102,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions.",,"The Mark Twain House & Museum, Gift of Annie Trumbull",
1665-74,,,,Principles of Home Decoration,Candace Wheeler; Pub. Doubleday,,"Copy of Principles of Home Decoration. Blue cover. Book is 227 pages, 8 3/4"" x 6 3/4"" x 3/4"". The title and a floral motif are embossed in gold on the front cover. The spine is very worn, and the title is difficult to see. There is wear on edges of cover. Front cover and spine are completly detached from book. Many pages in the front and back are detached. Some pages, including page 15, are torn on outside edges. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens; Candace Wheeler,,,,Mark Twain House and Museum,1665.74,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Miss Janet Howard",
175,,,,Adventures of Tom Sawyer,Mark Twain; American ,1876,"Copy of Adventures of Tom Sawyer. Blue cover with gold and black embossing of stars and diamonds with title. Spine has same design with gold embossed title, author, and publisher. Book is 275 pages. Book is 8 3/4"" x 7"" x 1"". Slight wear on outside of spine and corners of cover. Back cover starting to slightly detach from binding. Inscription on inside of fron cover reads ""Mary A Bull 1899 Easton Pa""",Cultural;Arts;Writing;Econimic;Industry;Printing,Samuel L. Clemens,,,,Mark Twain House and Museum,175,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
1929-10,no,,,Mark Twain Memorial Bookplate,Inez Temple,1929,Pen & Ink Drawing,Culture; Arts; Visual Arts; Drawing; Environment; Built Environment; Buildings/Architecture,Inez Temple,,41.76705545,-72.70141583,The Mark Twain House & Museum,1929.10,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of Inez Temple","A bookplate, also known as an ex-libris (meaning “from the books or library of”), is a small label pasted into the front endpaper of a book to indicate ownership. This pen and ink bookplate, designed by Inez Temple, features scenes and motifs from works by Mark Twain."
1935-3,no,,,The Mark Twain House,Kenneth Irwin Dike,1935,Watercolor,Culture; Arts; Visual Arts; Painting; Environment; Built Environment; Buildings/Architecture,Kenneth Irwin Dike,,41.76705545,-72.70141583,The Mark Twain House & Museum,1935.3,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of Kenneth Irwin Dike",
