objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit
209202303,209202303.jpg,,,Bret Harte,,1871,,,,,,National Archives and Records Administration ,209202303,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of National Archives and Records Administration 
0535-img0094-pcd,Grace_King.png,,,Grace King,,1896,,,,,,"The Ladies Home Journal, September 1896. XIII No. 10.",0535 img0094.pcd,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","Image from The Ladies Home Journal, September 1896. XIII No. 10."
2012-312-171,2012.312.171.jpeg,,,Building lots on Asylum Hill,Printed by E.B. & E.C. Kellogg,Before 1867,,,,,,Connecticut Museum of Culture and History,2012.312.171,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culture and History collection
2nd-floor-hallway-window-Groo-2011,2nd-floor-hallway-window-Groo-2011.jpg,,,2nd floor hallway window,John Groo,2011,,,,,,The Mark Twain House & Museum,2nd floor hallway window Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
371-32S979,371.32S979.jpg,,,"Outlines of the World's History Ancient, Medieval and Modern",William Swinton ,1874,,,,,,The Mark Twain House & Museum,371.32S979,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
A-Tramp-Abroad-cover,A-Tramp-Abroad.jpg,,,A Tramp Abroad,Mark Twain,1880,,,,,,The Mark Twain House & Museum,A Tramp Abroad cover,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Artists-Friends-Room--1-Groo-2023,Artists-Friends-Room-#1-Groo-2023.jpg,,,Artist's Friends Room,John Groo,2023,,,,,,The Mark Twain House & Museum,Artists Friends Room #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Asylum-Hill-Congregational-Church-,Asylum-Hill-Congregational-Church.jpg,,,Asylum Hill Congregational Church ,,1870s-1880s,,,,,,The Mark Twain House & Museum,Asylum Hill Congregational Church ,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Billiard-Room--1-Groo-2023,Billiard-Room-#1-Groo-2023.jpg,,,Billiard Room ,John Groo,2023,,,,,,The Mark Twain House & Museum,Billiard Room #1 Groo 2023,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Billiard-room-restorations-(2),Billiard-room-restorations-(2).jpg,,,Billiard room restoration,,,,,,,,The Mark Twain House & Museum,Billiard room restorations (2),Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
Butlers-Pantry--1-Groo-2011,Butlers-Pantry-#1-Groo-2011.jpg,,,Butler's Pantry,John Groo,2011,,,,,,The Mark Twain House & Museum,Butlers Pantry #1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. 
Candace-Wheeler--15,Candace-Wheeler-#15.tif,,,Portrait of Candace Wheeler,Unidentified photographer,1910-1923,,,,,,The Mark Twain House & Museum,Candace Wheeler #15,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections
