title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url,people,object_id,alt_text,exhibition_label,obj_type
Tramp Abroad,,1903,"""A Tramp Abroad"" written by Mark Twain","Book, Hardcover","Philadelphia, PA",,,The Mark Twain House & Museum,mtwhm1,Image;StillImage,image/jpeg,eng,The Mark Twain House & Museum,,,Emily Esten,136,,Provide more context here,Book
Black Silk Top Hat,"Albert Bigelow Paine, Samuel Langhorne Clemens",circa 1900,Black Silk Top Hat owned and worn by Mark Twain,Hat; Clothing,"Philadelphia",,,"The Mark Twain House & Museum, Gift of Albert Bigelow Paine, 1933",mtwhm2,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Gift of Albert Bigelow Paine, 1933",,<img src='https://marktwain.ctcollections.org/media/ctco_marktwain/images/0/69414_ca_object_representations_media_37_large.jpg' width='700' height='576' />,Emily Esten,1933.1,,Purchased by Samuel Clemens during his trip to England.,Physical Object
Pen with Case and Filing Bulb,"Samuel Langhorne Clemens, Olivia Langdon Clemens, Father Jame Kan, John O'Neil, Ellen O'Neil",circa 1879,Pen with case and filling bulb owned and used by Mark Twain,"Pen; Instrument, Writing","Philadelphia, PA",,,"The Mark Twain House & Museum, Museum Purchase, 1959",mtwhm3,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Museum Purchase, 1959",,<img src='https://marktwain.ctcollections.org/media/ctco_marktwain/images/2/85656_ca_object_representations_media_219_large.jpg' width='700' height='463' />,Emily Esten,1959.37.3 A-C,,Provide more context here,Physical Object
"Box, Glove",Jane Lampton Clemens (Jean),1900,Glove box carved and used by Jean Clemens,"oak with stain finish, brass","Philadelphia, PA",,,"The Mark Twain House & Museum, Museum purchase, 1987",mtwhm4,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Museum purchase, 1987",,<img src='https://marktwain.ctcollections.org/media/ctco_marktwain/images/1/3/5201_ca_object_representations_media_1309_large.jpg' width='700' height='280' />,Emily Esten,1987.10.1,,"Glove Box Belonged to Jean Clemens 1900 The Mark Twain House & Museum, Museum purchase Jean's talent for wood carving can be seen in the many interesting designs and patterns of her work. This glove box has her initials ""JLC"" carved on the top, with the year ""1900"" on the front.",Physical Object
Billiard Rack ,Mark Herman,,Billiard ball rack owned and used by Mark Twain,Birch,"Philadelphia, PA",,,"The Mark Twain House & Museum, Gift of Mark Herman, 1992",mtwhm5,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Gift of Mark Herman, 1992",,<img src='https://marktwain.ctcollections.org/media/ctco_marktwain/images/1/3/11010_ca_object_representations_media_1348_large.jpg' width='700' height='785' />,Erin Bartram,1992.2.2,,Provide more context here,Physical Object
"Cabinet, music",Samuel Langhorne Clemens,,Music cabinet owned by the Clemens family,Walnut,"Philadelphia, PA",,,"The Mark Twain House & Museum, Museum purchase, 2002.",mtwhm6,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Museum purchase, 2002.",,,Jodi DeBruyne,2002.7.1,,Provide more context here,Physical Object
Topaz Cufflinks with Original Box,"Samuel Langhorne Clemens, Col. James E. Townes Jr., Mrs. James E. Townes Jr.",1870-1888,Cufflinks owned and worn by Mark Twain,Topaz,"Philadelphia, PA",,,"The Mark Twain House & Museum, Gift of Col. and Mrs. James E. Townes Jr.",mtwhm7,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Gift of Col. and Mrs. James E. Townes Jr.",,<img src='https://marktwain.ctcollections.org/media/ctco_marktwain/images/2/0/74132_ca_object_representations_media_2001_large.jpg' width='700' height='466' />,Jodi DeBruyne,2013.22.1a-c,,Provide more context here,Physical Object
"Letter, Samuel Clemens to Joseph Twichell, London, September 27, 1896","Samuel Langhorne Clemens, Joseph H. Twichell, David C. Twichell, Jr.",September 27 1896,"Letter, written by Samuel L. Clemens from London on September 27, 1896 to Joseph Twichell.Â <br /> Referenced on Mark Twain Papers online, under identification number UCCL 05117.Â ",letter; correspondence,,51.50999678,-0.126914084,"The Mark Twain House & Museum, Gift of the Twichell Family",mtwhm8,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Gift of the Twichell Family",,<img src='https://marktwain.ctcollections.org/media/ctco_marktwain/images/1/7/46458_ca_object_representations_media_1746_large.jpg' width='700' height='563' />,Jodi DeBruyne,2022.02.001,,Provide more context here,Document
Trunk Tag,Samuel Langhorne Clemens,May 11 1895,Luggage tag belonging to Mark twain,Paper,,,,"The Mark Twain House & Museum, Museum purchase",mtwhm9,Image;StillImage,image/jpeg,eng,"The Mark Twain House & Museum, Museum purchase",,<img src='https://marktwain.ctcollections.org/media/ctco_marktwain/images/1/7/8156_ca_object_representations_media_1744_large.jpg' width='700' height='466' />,Jodi DeBruyne,2418.75,,"Luggage Tag Belonged to Samuel Clemens  c. 1895 The Mark Twain House & Museum, Museum purchase ",Physical Object
"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Example locally hosted image item. Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, Special Collections and Archives, University of Idaho Library",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=demo_001,,,,,
Noll Aduitorium [Bryan Hall],Patton Post Card Co.,1915-11-03,Example locally hosted image item. Photographic postcard of Bryan Hall on the Washington State University campus (mislabeled &#39;Noll Aduitorium&#39;). Card is damaged and held together with tape.,universities; buildings; clock towers (towers); picture postcards,"Pullman, Washington",46.731643,-117.165625,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_023,Image;StillImage,image/jpeg,eng,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,https://collectionbuilder.github.io/collectionbuilder-gh/item.html?id=test002,,,,,
